Filename:	./Data/ESC07.sop
Metaheuristic:	0
Threads:	1
Iterations:	5000
Time elapsed:	0.267117
Initial Value:	2625
Best Value: 	2125

Filename:	./Data/ESC07.sop
Metaheuristic:	0
Threads:	1
Iterations:	10000
Time elapsed:	0.487555
Initial Value:	2625
Best Value: 	2125

Filename:	./Data/ESC07.sop
Metaheuristic:	0
Threads:	1
Iterations:	15000
Time elapsed:	0.742087
Initial Value:	2625
Best Value: 	2125

Filename:	./Data/ESC07.sop
Metaheuristic:	0
Threads:	1
Iterations:	20000
Time elapsed:	0.976324
Initial Value:	2625
Best Value: 	2125

Filename:	./Data/ESC07.sop
Metaheuristic:	0
Threads:	2
Iterations:	5000
Time elapsed:	0.1274
Initial Value:	2625
Best Value: 	2125

Filename:	./Data/ESC07.sop
Metaheuristic:	0
Threads:	2
Iterations:	10000
Time elapsed:	0.252578
Initial Value:	2625
Best Value: 	2125

Filename:	./Data/ESC07.sop
Metaheuristic:	0
Threads:	2
Iterations:	15000
Time elapsed:	0.376388
Initial Value:	2625
Best Value: 	2125

Filename:	./Data/ESC07.sop
Metaheuristic:	0
Threads:	2
Iterations:	20000
Time elapsed:	0.501319
Initial Value:	2625
Best Value: 	2125

Filename:	./Data/ESC07.sop
Metaheuristic:	0
Threads:	3
Iterations:	5000
Time elapsed:	0.0896258
Initial Value:	2625
Best Value: 	2125

Filename:	./Data/ESC07.sop
Metaheuristic:	0
Threads:	3
Iterations:	10000
Time elapsed:	0.176902
Initial Value:	2625
Best Value: 	2125

Filename:	./Data/ESC07.sop
Metaheuristic:	0
Threads:	3
Iterations:	15000
Time elapsed:	0.262148
Initial Value:	2625
Best Value: 	2125

Filename:	./Data/ESC07.sop
Metaheuristic:	0
Threads:	3
Iterations:	20000
Time elapsed:	0.341639
Initial Value:	2625
Best Value: 	2125

Filename:	./Data/ESC07.sop
Metaheuristic:	0
Threads:	4
Iterations:	5000
Time elapsed:	0.0727496
Initial Value:	2625
Best Value: 	2125

Filename:	./Data/ESC07.sop
Metaheuristic:	0
Threads:	4
Iterations:	10000
Time elapsed:	0.153173
Initial Value:	2625
Best Value: 	2125

Filename:	./Data/ESC07.sop
Metaheuristic:	0
Threads:	4
Iterations:	15000
Time elapsed:	0.230058
