Filename:	Metaheuristic:	Threads:	Iterations:	Time elapsed:	Initial Value:	Best Value: 	
./Data/ESC07.sop	1	1	5000	0.253751	2625	2125
./Data/ESC07.sop	1	1	10000	0.495247	2625	2125
./Data/ESC07.sop	1	1	15000	0.749831	2625	2125
./Data/ESC07.sop	1	1	20000	0.9902	2625	2125
./Data/ESC07.sop	1	2	5000	0.128841	2625	2125
./Data/ESC07.sop	1	2	10000	0.25401	2625	2125
./Data/ESC07.sop	1	2	15000	0.373816	2625	2125
./Data/ESC07.sop	1	2	20000	0.505716	2625	2125
./Data/ESC07.sop	1	3	5000	0.0868856	2625	2125
./Data/ESC07.sop	1	3	10000	0.173951	2625	2125
./Data/ESC07.sop	1	3	15000	0.269401	2625	2125
./Data/ESC07.sop	1	3	20000	0.366973	2625	2125
./Data/ESC07.sop	1	4	5000	0.0983614	2625	2125
./Data/ESC07.sop	1	4	10000	0.168618	2625	2125
./Data/ESC07.sop	1	4	15000	0.235845	2625	2125
./Data/ESC07.sop	1	4	20000	0.27256	2625	2125
./Data/ft70.1.sop	1	1	5000	76.7304	46060	44894
./Data/ft70.1.sop	1	1	10000	153.194	46060	44894
./Data/ft70.1.sop	1	1	15000	228.916	46060	44894
./Data/ft70.1.sop	1	1	20000	306.022	46060	44894
./Data/ft70.1.sop	1	2	5000	38.8428	46060	44894
./Data/ft70.1.sop	1	2	10000	76.9728	46060	44894
./Data/ft70.1.sop	1	2	15000	115.466	46060	44894
./Data/ft70.1.sop	1	2	20000	154.915	46060	44894
./Data/ft70.1.sop	1	3	5000	26.2138	46060	44894
./Data/ft70.1.sop	1	3	10000	52.3969	46060	44894
./Data/ft70.1.sop	1	3	15000	78.723	46060	44894
./Data/ft70.1.sop	1	3	20000	104.873	46060	44894
./Data/ft70.1.sop	1	4	5000	19.843	46060	44894
./Data/ft70.1.sop	1	4	10000	39.5538	46060	44894
./Data/ft70.1.sop	1	4	15000	59.349	46060	44894
./Data/ft70.1.sop	1	4	20000	79.5142	46060	44894
./Data/rbg150a.sop	1	1	5000	709.809	2205	1850
./Data/rbg150a.sop	1	1	10000	1424.35	2205	1850
./Data/rbg150a.sop	1	1	15000	2126.87	2205	1849
./Data/rbg150a.sop	1	1	20000	2833.14	2205	1829
./Data/rbg150a.sop	1	2	5000	356.76	2205	1848
./Data/rbg150a.sop	1	2	10000	716.451	2205	1836
./Data/rbg150a.sop	1	2	15000	1083.7	2205	1827
./Data/rbg150a.sop	1	2	20000	1433.52	2205	1834
./Data/rbg150a.sop	1	3	5000	243.954	2205	1846
./Data/rbg150a.sop	1	3	10000	487.915	2205	1830
./Data/rbg150a.sop	1	3	15000	730.106	2205	1814
./Data/rbg150a.sop	1	3	20000	976.767	2205	1850
./Data/rbg150a.sop	1	4	5000	184.301	2205	1839
./Data/rbg150a.sop	1	4	10000	369.781	2205	1836
./Data/rbg150a.sop	1	4	15000	556.763	2205	1821
./Data/rbg150a.sop	1	4	20000	738.872	2205	1814
