Filename:	Metaheuristic:	Threads:	Iterations:	Time elapsed:	Initial Value:	Best Value: 	
./Data/ESC07.sop	1	1	5000	0.237331	2625	2125
./Data/ESC07.sop	1	1	10000	0.479657	2625	2125
./Data/ESC07.sop	1	1	15000	0.717871	2625	2125
./Data/ESC07.sop	1	1	20000	0.998142	2625	2125
./Data/ESC07.sop	1	2	5000	0.123771	2625	2125
./Data/ESC07.sop	1	2	10000	0.249398	2625	2125
./Data/ESC07.sop	1	2	15000	0.389811	2625	2125
./Data/ESC07.sop	1	2	20000	0.525527	2625	2125
./Data/ESC07.sop	1	3	5000	0.0851864	2625	2125
./Data/ESC07.sop	1	3	10000	0.174724	2625	2125
./Data/ESC07.sop	1	3	15000	0.275226	2625	2125
./Data/ESC07.sop	1	3	20000	0.355765	2625	2125
./Data/ESC07.sop	1	4	5000	0.0746618	2625	2125
./Data/ESC07.sop	1	4	10000	0.138839	2625	2125
./Data/ESC07.sop	1	4	15000	0.212419	2625	2125
./Data/ESC07.sop	1	4	20000	0.273123	2625	2125
./Data/ft70.1.sop	1	1	5000	74.154	46060	44894
./Data/ft70.1.sop	1	1	10000	146.372	46060	44894
./Data/ft70.1.sop	1	1	15000	217.439	46060	44894
./Data/ft70.1.sop	1	1	20000	288.048	46060	44894
./Data/ft70.1.sop	1	2	5000	36.4483	46060	44894
./Data/ft70.1.sop	1	2	10000	73.3239	46060	44894
./Data/ft70.1.sop	1	2	15000	110.107	46060	44894
./Data/ft70.1.sop	1	2	20000	145.955	46060	44894
./Data/ft70.1.sop	1	3	5000	25.1391	46060	44894
./Data/ft70.1.sop	1	3	10000	50.4099	46060	44894
./Data/ft70.1.sop	1	3	15000	75.2388	46060	44894
./Data/ft70.1.sop	1	3	20000	100.599	46060	44894
./Data/ft70.1.sop	1	4	5000	19.2216	46060	44894
./Data/ft70.1.sop	1	4	10000	38.6131	46060	44894
./Data/ft70.1.sop	1	4	15000	57.6761	46060	44894
./Data/ft70.1.sop	1	4	20000	76.8168	46060	44894
./Data/rbg150a.sop	1	1	5000	663.741	2205	1850
./Data/rbg150a.sop	1	1	10000	1327.01	2205	1850
./Data/rbg150a.sop	1	1	15000	1984.55	2205	1849
./Data/rbg150a.sop	1	1	20000	2653.93	2205	1829
./Data/rbg150a.sop	1	2	5000	338.786	2205	1848
./Data/rbg150a.sop	1	2	10000	678.101	2205	1836
./Data/rbg150a.sop	1	2	15000	1015.75	2205	1827
./Data/rbg150a.sop	1	2	20000	1359.72	2205	1834
./Data/rbg150a.sop	1	3	5000	231.843	2205	1846
./Data/rbg150a.sop	1	3	10000	463.946	2205	1830
./Data/rbg150a.sop	1	3	15000	695.282	2205	1814
./Data/rbg150a.sop	1	3	20000	924.708	2205	1850
./Data/rbg150a.sop	1	4	5000	176.745	2205	1839
./Data/rbg150a.sop	1	4	10000	353.124	2205	1836
./Data/rbg150a.sop	1	4	15000	531.387	2205	1821
./Data/rbg150a.sop	1	4	20000	705.896	2205	1814
